"who ’ s to say they won ’ t be as wrong as they were in ? electoral votes seems likelier than a trump win , and it ’ s not even close .",[trump]
ok here you go trump corruption,[trump]
vote joe biden ! ! blue wave 2020,"[biden, trump]"
trump,[trump]
do we have an election day or an election month ? sure let us just keep counting unverified mail in ballots until biden wins .,[biden]
wow dude . did you just kinda say bobby orr endorses president trump because he is rich and greedy ?,[trump]
"honestly , if you sleep with your ar15 and it ’ s all you love in this world , biden isn ’ t your vote . if you want the end times to come so you can be raptured , biden isn ’ t your vote . these ppl exist . they are horrible . and there ’ s more than you think .",[biden]
lock trump up and vote the corrupt out ! ! !,[trump]
"vote every bootlicking , science denying , trump - ass - kissing republican out because idiocracy was supposed to be a satire .",[trump]
vote joe biden to end trump ' s corruption,"[biden, trump]"
"the supported - by - trump charter schools here in az teach chinese and russian as foreign languages . there are about of them all over the state , owned by a russian couple .",[trump]
"have you ever lied ? he who is without sin , let him cast the first stone . do not be self - righteous hypocrite . it ' s not a good look .",[trump]
"\ \ "" \ "" weekend at biden ' s \ "" \ "" - movie trailer via \ "" """,[biden]
bye don !,[trump]
"really ? i bet he can scoop ice cream , in fact , some would say he is the best ice cream scooper ever . truly yuge scoops .",[trump]
"we get it , you are voting for trump .",[trump]
"not a woman hater , an ignorance hater . but i get why you are confused",[trump]
i think trump will win pennsylvania by a solid,[trump]
vote joe biden ! ! 🌊 🌊 🌊 🌊 🌊 blue wave coming,[biden]
you mean it ’ s not because we are testing too much ? ? ? ! ! ! what . an . idiot . trump . is .,[trump]
"no msm today ! news : oann - newsmax - tucker , hannity , laura i , c - span youtube for trump rally ’ s - rightsidebroadcasting podcasts - dan bongino , glen beck , david harris jr , lance wallnau , there ’ s one with rampage , is so good , rudy giuliani , steve bannon , scott adams , eric metaxas . . .",[trump]
voted joe biden .,[biden]
why is the photo a fucking pro trump sign ?,[trump]
a vote for joe biden is vote for more us jobs shipped to china and a continued chinese takeover of the us . this is dude is corrupt and compromised . they own him maga 2020 landslide victorychina bitch joe biden crime famiily,[biden]
was this hackers or just traitor trump hiding more money for when he flees the country ?,[trump]
is almost as big a baby as vote blue to save america,[trump]
biden ' s attempt to show a masculinity to liberal voters ? roflmao .,[biden]
"i ’ m awake cuz my cat beats on my nose with her paw til i get up and feed her ! sadly , my anxiety over this election is screwing with my sleep abilities . i want joe biden / kamala harris to win so badly it takes my breath away .",[biden]
can ’ t wait to hear that joe biden won the presidency & kamala ( bette porter ) harris has won vp,[biden]
"there are a million reasons we voted for biden / harris , but to start with i would name sanity , unity , and equality .",[biden]
"god bless you , !",[trump]
"+ new unemployment claims last week , + americans dead because you failed miserably , vote joe biden to protect americans and help the economy ! !","[biden, trump]"
trump cut social security vote joe biden to save social security ! !,[trump]
we need everyone to come out and vote for trump trump and all red so we can put a stop to socialism,[trump]
how i ’ m gonna act if i get pulled over by a cop if trump wins the election,[trump]
vote for your life vote joe biden ! ! !,"[biden, trump]"
"meanwhile , the canadian border is swiss cheese for border crossing . by all means though , keep lying about the wall being about security .",[trump]
"this is not what represents . the people doing this hateful stuff are what trump is calls antifa . he is against this behavior so do not lump him in with these radical , evil hearted people . they exist on the democratic and republican sides . they are not american !",[trump]
vote joe biden to save america ! ! ! vote the out of office ! ! !,"[trump, biden]"
vote joe biden to end this nightmare and send donald trump packing ! !,[trump]
"i am white , fuck trump",[trump]
christ is a silly myth and so is your faith in trump . you are just super gullible .,[trump]
vote joe biden,"[trump, biden]"
"jim , why are you retweeting this horseshit ? do you think biden is a socialist ? do you want to peddle this disinformation ? i don ’ t think you do .","[biden, trump]"
are you campaigning for the next president joe biden ? ?,[trump]
"cmon man , week president trump more years !",[trump]
you are correct,[trump]
vote joe biden ! !,"[biden, trump]"
cenk uygur starting to panic as he realizes trump can win ! the meltdown . . . via,[trump]
ahhhh . daddy ’ s little girl . suburban housewives are voting for biden / harris .,"[trump, biden]"
was needed to break even .,[trump]
skeptics . i was on twitter when you were probably in grade school . i left years ago & fasted from it . i got back on for business and video games . god gave me a greater purpose . i now share truth twitter to fight against foolish statements just like yours that lead to division .,[trump]
vote joe biden to end this nightmare ! 🌊 🌊 🌊 🌊 🌊 🌊 🌊 🌊 🌊 🌊 🌊 🌊 🌊 🌊,[biden]
three days left if you haven ’ t voted yet get out and vote for red across the board . . . we need four more years of president trump,[trump]
this censoring is just like a communist country .,[trump]
trump should be disqualified from re election,[trump]
vote joe biden ! ! trump cut social security,[trump]
did pootchie have one of hunter biden ' s old laptops in his mouth ?,[biden]
just completely ignores the groundbreaking middle east peace deals lol what a joke the ndp needs to find a replacement asap . it wasn ’ t trumps fault you preformed so poorly in the election . it ’ s cause people don ’ t like you and your policies,[trump]
vote joe biden,"[trump, biden]"
vote joe biden ! ! !,[trump]
"they ’ re just plain stupid , stupid , stupid ! ! ! ! !",[trump]
my heart is so happy ! so many people coming into my work with biden gear . biden for president,[biden]
vote joe biden ! ! vote the out to save america ! !,"[trump, biden]"
only got her job is because daddy told howard stern he wanted to sleep with her ! ! !,[trump]
trump ’ s record is bad ! ! ! sad ! ! !,[trump]
nothing like being endorsed by a newspaper no one ’ s ever heard of,[trump]
funny how last week the national average was points and now it ’ s . have a feeling we will see trump victory,[trump]
vote joe biden to save america ! ! blue wave 2020,"[biden, trump]"
"that was his father ' s sin . when we judge with human with self - righteous , human emotions we fail to see god ' s plans and the absolute truth . we are not held accountable at the keeper ' s gate for our earthly father ' s sins . god judges an individual ' s sin .",[trump]
she probably will be . i ’ d give biden maybe months before he has to ‘ step down ’ . he ’ s clearly not going to be capable of meeting with other world leaders and keep the grueling schedule of a president . he has less than of ‘ s energy ! !,[biden]
vote joe biden to restore decency to america and respect from the world ! !,[biden]
1 0 s of thousands compared to a couple dozens at biden rallies you must have missed obama ’ s introduction for biden and sleepy joe was sleeping and not one person to be seen,[biden]
what did you do for flint ? nothing except release the money obama had appropriated to flint .,[trump]
"so much for the bible verses , marco . you did not read the most important one , the beatitudes . joe biden lives it .",[biden]
vote joe biden ! ! trump lost our jobs,"[biden, trump]"
absolutely . the swamp covered up the swamp . trump hasn ’ t been able to eliminate enough yet but he has exposed it . four more years ! ! !,[trump]
lol while they sit in idling cars to listen to him ramble off a teleprompter,[trump]
just remember mr trump “ you scratch a liar you ’ ll find a thief ” . can you associate with this ?,[trump]
vote joe biden !,"[trump, biden]"
the fuhrer trump did more to demonstrate why martha mcsally should not be re - elected than anyone else . mcsally must go .,[trump]
more black celebrities joining the fight ! lil wayne impressed me with this move . blessings on him and trump .,[trump]
vote joe biden !,[biden]
the fact this guy hates him so much makes me think it ’ s a good idea to vote for trump,[trump]
nader and stein royally screwed up the elections of and . fl votes gave us w . votes gave us trump . vote blue to end the nightmare vote we need ‘ a landslide victory ’ : legendary activist daniel ellsberg endorses joe biden,"[trump, biden]"
donald trump killed mac miller,[trump]
vote joe biden blue wave 2020,"[trump, biden]"
vote joe biden to end the nightmare !,[biden]
i live in a republican stronghold . the trump bus full of merchandise visits the area frequently . i drive around my neighborhood appalled at all of the trump signs . has this or covid made me more reclusive ? who knows .,[trump]
it will end when every vote is counted not before ! ! ! !,[trump]
president reagan was awesome .,[trump]
vote joe biden,"[biden, trump]"
trump : i despise you and wish i didn ’ t have to be here and i never want to come back . rally goers : yay ! disparage us more ! more years !,[trump]
thanks first lady you are the best first lady we ever had . . . god bless you and your family,[trump]
vote joe biden to end this year nightmare ! ! !,[trump]
vote joe biden to save america !,[biden]
that schtick is just plain desperate and sad,[trump]
trump,[trump]
"do you dare call god a liar ? ! god ' s hand is on . he sees your tweets . you will be held accountable for misleading people . repent now , turn from evil or spend eternity in hell ! there are consequences for our actions ; all of them !",[trump]
i think he would make scooping great again .,[trump]
what about the trump supporters in texas that tried to literally kill the biden campaign,"[trump, biden]"
"we could be opening like they are , but trump keeps hosting super spreader events . he ’ s the dumbest president ever !",[trump]
bye don !,[trump]
