anyone seen trump ' s health care plan ? that he says is ready !,[trump]
um can we say nope,[trump]
"trump has broken more campaign finance laws than biden . he has more nefarious connections : ( putin , china , epstein , saudis ) than biden . he ' s been sued for racism more than biden . he denies more science than biden . his children have more conflicts of interest than joe biden kids","[trump, biden]"
"any question ask of the biden family should be asked of the trump family first ! they are in the white house now . the standard should be applied to the sitting president , otherwise youre saying its okay if trump does it while in office but not okay to do it if your running for off","[trump, biden]"
a young woman stood at rochester international airport away from cheering crowds as a small protest of president trump ' s rally here . roch mn trump in roch,[trump]
yeah joe what is with trump endorsement ? you like to see our democracy circling the drain sure sounds like it . now i remember why i don ’ t watch msnbc in the morning,[trump]
trump camp uses online gimmick to fuel donations into december via,[trump]
you ’ ll be in jail in a few months mr hitler youth . . .,[trump]
america first . . . ( not the good kind of first ) .,[trump]
"except banning flights from china when democrats called it xenophobic , closing down the whole economy to flatten the curve , mass producing ventilators and ppe , fast tracking treatments and getting a vaccine out in record time . right . nothing at all .",[trump]
"doesn ’ t mean they are voting trump . how many are - ? that is a potential “ punked ” vote . republicans who hope to cleanse their party will keep their affiliation , but vote blue . what if that is of these republican votes ?",[trump]
it hard for many of us to understand how folks like you think trump is this big racist while poll after poll show trump getting more of the minority vote then any republican maybe ever in modern times . how is this possible ?,[trump]
the way you comprehend things you probably understood perfectly what biden said .,[biden]
"in excess of excess deaths above and beyond deaths during a typical year ; those numbers don ’ t lie . also , countries around the world are successfully showing zero cases and opening up . that ’ s just reality , seems like you ’ re the one doing mental gymnastics in supt of trump .",[trump]
the dems will never let this get that far though . they got a big agenda and biden was always just a shell . they will have zeronproblem pitching him to the wolves . i dont blame them . why entangle their entire agenda over a corrupt elder care patient .,[biden]
he ' s slurring his words there . if biden did that - - they ' d be calling it dementia setting in .,[biden]
boi do you know what an inheritance is,[trump]
"say what now troll ? trump is potus , he is responsible for the hideous performance of our national response .",[trump]
"makes sense because of your circle . and yes it cuts both ways that we agree . if called i promise you these same shy trump voters also will not poll for trump , that ’ s the story .",[trump]
everything . as your record shows .,[trump]
i ’ m with lawman here . even last nights tucker interview needs to be taken in context . did joe biden receive money in these foreign hunter deals ? probably . he will say “ i never took any money “ . is there a crime here ? perhaps . probably . joe lied . that is what needs to be said .,[biden]
the dick behind funding trump,[trump]
plymouth mn here . voters in our household voted for biden ! ! ! wup wup ! !,[biden]
